"gene_id"	"brief.description"
"1"	"CG10062"	""
"2"	"CG10073"	""
"3"	"CG10175"	""
"4"	"CG10209"	""
"5"	"CG10280"	""
"6"	"CG10321"	""
"7"	"CG10543"	""
"8"	"CG1091"	""
"9"	"CG1116"	""
"10"	"CG11693"	""
"11"	"CG11825"	""
"12"	"CG12269"	""
"13"	"CG12769"	""
"14"	"CG12814"	""
"15"	"CG12866"	""
"16"	"CG13160"	""
"17"	"CG13527"	""
"18"	"CG13562"	""
"19"	"CG13579"	""
"20"	"CG13643"	""
"21"	"CG13827"	""
"22"	"CG13830"	""
"23"	"CG1399"	""
"24"	"CG1407"	""
"25"	"CG14322"	""
"26"	"CG14499"	""
"27"	"CG14693"	""
"28"	"CG15097"	""
"29"	"CG15515"	""
"30"	"CG15803"	""
"31"	"CG15923"	""
"32"	"CG1607"	""
"33"	"CG1667"	""
"34"	"CG17575"	""
"35"	"CG17664"	""
"36"	"CG17684"	""
"37"	"CG17721"	""
"38"	"CG17734"	""
"39"	"CG18208"	""
"40"	"CG18605"	""
"41"	"CG18672"	""
"42"	"CG2016"	""
"43"	"CG2126"	""
"44"	"CG2698"	""
"45"	"CG2747"	""
"46"	"CG2993"	""
"47"	"CG30082"	""
"48"	"CG30187"	""
"49"	"CG30381"	""
"50"	"CG30389"	""
"51"	"CG30495"	""
"52"	"CG31064"	""
"53"	"CG31075"	""
"54"	"CG31100"	""
"55"	"CG31102"	""
"56"	"CG31140"	""
"57"	"CG31221"	""
"58"	"CG31427"	""
"59"	"CG31522"	""
"60"	"CG31550"	""
"61"	"CG3209"	""
"62"	"CG32834"	""
"63"	"CG33203"	""
"64"	"CG33225"	""
"65"	"CG3328"	""
"66"	"CG33467"	""
"67"	"CG33483"	""
"68"	"CG33981"	""
"69"	"CG34231"	""
"70"	"CG34308"	""
"71"	"CG34353"	""
"72"	"CG34355"	""
"73"	"CG34371"	""
"74"	"CG34377"	""
"75"	"CG3831"	""
"76"	"CG3860"	""
"77"	"CG4019"	""
"78"	"CG41378"	""
"79"	"CG42322"	""
"80"	"CG42326"	""
"81"	"CG4250"	""
"82"	"CG42596"	""
"83"	"CG42613"	""
"84"	"CG42668"	""
"85"	"CG42675"	""
"86"	"CG42678"	""
"87"	"CG42694"	""
"88"	"CG42700"	""
"89"	"CG42724"	""
"90"	"CG42795"	""
"91"	"CG42811"	""
"92"	"CG42828"	""
"93"	"CG43058"	""
"94"	"CG43066"	""
"95"	"CG43102"	""
"96"	"CG43124"	""
"97"	"CG43125"	""
"98"	"CG43143"	""
"99"	"CG43177"	""
"100"	"CG43324"	""
"101"	"CG43327"	""
"102"	"CG43335"	""
"103"	"CG43336"	""
"104"	"CG43667"	""
"105"	"CG43729"	""
"106"	"CG43742"	""
"107"	"CG43776"	""
"108"	"CG43777"	""
"109"	"CG43998"	""
"110"	"CG44194"	""
"111"	"CG44249"	""
"112"	"CG44296"	""
"113"	"CG4433"	""
"114"	"CG45049"	""
"115"	"CG45062"	""
"116"	"CG45063"	""
"117"	"CG45076"	""
"118"	"CG45122"	""
"119"	"CG4538"	""
"120"	"CG45546"	""
"121"	"CG4562"	""
"122"	"CG4630"	""
"123"	"CG4662"	""
"124"	"CG4702"	""
"125"	"CG5174"	""
"126"	"CG5447"	""
"127"	"CG5514"	""
"128"	"CG5550"	""
"129"	"CG5554"	""
"130"	"CG5555"	""
"131"	"CG5621"	""
"132"	"CG5742"	""
"133"	"CG6184"	""
"134"	"CG6191"	""
"135"	"CG6923"	""
"136"	"CG7568"	""
"137"	"CG7737"	""
"138"	"CG8080"	""
"139"	"CG8272"	""
"140"	"CG8771"	""
"141"	"CG9084"	""
"142"	"CG9313"	""
"143"	"CG9492"	""
"144"	"CG9727"	""
"145"	"COX1"	""
"146"	"Dmel_CG10062"	""
"147"	"Dmel_CG10073"	""
"148"	"Dmel_CG10152"	""
"149"	"Dmel_CG10155"	""
"150"	"Dmel_CG10175"	""
